encoding,label,n_loci,n_tests,nominal_alpha,empirical_size,ci95_lo,ci95_hi,nominal_in_ci
VHID_binary_collapsed,VHID binary (collapsed loci),71,10000,0.01,0.0103,0.00841,0.01248,True
VHID_binary_collapsed,VHID binary (collapsed loci),71,10000,0.05,0.0544,0.05004,0.05903,False
VHID_L2_continuous,VHID L2 continuous (same loci),71,10000,0.01,0.0102,0.00832,0.01237,True
VHID_L2_continuous,VHID L2 continuous (same loci),71,10000,0.05,0.0508,0.04658,0.05529,True
H3N2_binary_top40,H3N2 binary (top-40 loci),40,10000,0.01,0.0094,0.0076,0.01149,True
H3N2_binary_top40,H3N2 binary (top-40 loci),40,10000,0.05,0.0453,0.04131,0.04956,False
