threshold,n_loci_before,n_loci_after,max_block_size,n_singletons,block_size_hist,residual_max_offdiag_abs_r,largest_block
0.7,102,58,25,47,"{""1"": 47, ""2"": 5, ""3"": 1, ""4"": 3, ""5"": 1, ""25"": 1}",0.6615,"[2, 31, 54, 62, 63, 80, 126, 137, 139, 143, 144, 146, 158, 159, 160, 163, 173, 199, 207, 242, 244, 248, 260, 278, 307]"
0.8,102,74,12,64,"{""1"": 64, ""2"": 5, ""4"": 4, ""12"": 1}",0.7934,"[2, 137, 143, 144, 159, 160, 163, 173, 244, 248, 260, 307]"
0.9,102,85,4,76,"{""1"": 76, ""2"": 5, ""4"": 4}",0.8911,"[25, 202, 222, 225]"
